shot_number,x_coord,y_coord,time,weapon
1,1,135,0.04122888888888889,AKM
2,7,4,0.04122888888888889,AKM
3,2,4,0.08245777777777778,AKM
4,2,106,0.24737333333333333,AKM
5,1021,1,0.32983111111111113,AKM
6,6,98,0.49474666666666667,AKM
7,4,122,0.783348888888889,AKM
8,5,111,0.783348888888889,AKM
9,1029,3,0.9070355555555556,AKM
10,2,181,0.9894933333333333,AKM
11,746,525,1.11318,AKM
12,1097,2,1.11318,AKM
13,3,189,1.11318,AKM
14,1,204,1.154408888888889,AKM
15,196,1,1.1956377777777778,AKM
16,4,173,1.1956377777777778,AKM
17,238,3,1.1956377777777778,AKM
18,216,6,1.2780955555555555,AKM
19,753,532,1.3193244444444445,AKM
20,196,11,1.3193244444444445,AKM
21,215,13,1.3193244444444445,AKM
22,1,216,1.3605533333333335,AKM
23,203,14,1.3605533333333335,AKM
24,1046,9,1.3605533333333335,AKM
25,175,10,1.3605533333333335,AKM
26,177,2,1.3605533333333335,AKM
27,1054,27,1.4017822222222223,AKM
28,211,4,1.4017822222222223,AKM
29,1252,3,1.4017822222222223,AKM
30,184,1,1.4017822222222223,AKM
31,1063,38,1.4430111111111112,AKM
32,1045,27,1.4430111111111112,AKM
33,185,20,1.4430111111111112,AKM
34,202,5,1.4430111111111112,AKM
35,159,3,1.4430111111111112,AKM
36,1276,31,1.48424,AKM
37,1272,26,1.525468888888889,AKM
38,174,19,1.525468888888889,AKM
39,1275,17,1.525468888888889,AKM
40,148,7,1.525468888888889,AKM
41,223,34,1.566697777777778,AKM
42,1152,21,1.566697777777778,AKM
43,190,1,1.566697777777778,AKM
44,1161,35,1.6079266666666667,AKM
45,234,9,1.6079266666666667,AKM
46,1274,0,1.6079266666666667,AKM
47,226,2,1.6491555555555557,AKM
48,1237,3,1.6491555555555557,AKM
49,225,25,1.6903844444444445,AKM
50,242,29,1.6903844444444445,AKM
51,199,20,1.6903844444444445,AKM
52,210,13,1.6903844444444445,AKM
53,3,10,1.6903844444444445,AKM
54,222,7,1.7316133333333334,AKM
55,209,29,1.7728422222222222,AKM
56,220,23,1.7728422222222222,AKM
57,234,16,1.7728422222222222,AKM
58,2,81,1.8140711111111112,AKM
59,229,57,1.8140711111111112,AKM
60,233,39,1.8140711111111112,AKM
61,240,18,1.8140711111111112,AKM
62,29,2,1.8140711111111112,AKM
63,14,3,1.8140711111111112,AKM
64,652,512,1.8553000000000002,AKM
65,678,498,1.8553000000000002,AKM
66,727,490,1.8553000000000002,AKM
67,231,73,1.8553000000000002,AKM
68,223,61,1.8553000000000002,AKM
69,17,49,1.8553000000000002,AKM
70,31,45,1.8553000000000002,AKM
71,221,2,1.8553000000000002,AKM
72,234,80,1.896528888888889,AKM
73,35,52,1.896528888888889,AKM
74,1187,32,1.896528888888889,AKM
75,197,6,1.896528888888889,AKM
