,shot_number,x_coord,y_coord,time,weapon,x_normalized,y_normalized,time_normalized,delta_x,delta_y,delta_time,V,H
0,1,1,135,0.0412288888888888,AKM,0,0,0.0,0.0,0.0,0.001,0.0,0.0
2,3,2,4,0.0824577777777777,AKM,1,-131,0.0412288888888889,-5.0,0.0,0.0412288888888889,0.0,-121.27418746294397
3,4,2,106,0.2473733333333333,AKM,1,-29,0.20614444444444452,0.0,102.0,0.16491555555555562,618.4983560610142,0.0
6,7,4,122,0.783348888888889,AKM,3,-13,0.7421200000000002,-2.0,24.0,0.2886022222222224,83.15944283173297,-6.92995356931108
13,14,1,204,1.154408888888889,AKM,0,69,1.1131800000000003,-2.0,15.0,0.04122888888888898,363.82256238883116,-48.50967498517749
17,18,216,6,1.2780955555555555,AKM,215,-129,1.2368666666666668,-22.0,3.0,0.08245777777777774,36.382256238883215,-266.8032124184769
36,37,1272,26,1.525468888888889,AKM,1271,-109,1.4842400000000002,-4.0,-5.0,0.04122888888888898,-121.27418746294373,-97.01934997035498
40,41,223,34,1.566697777777778,AKM,222,-101,1.5254688888888892,75.0,27.0,0.04122888888888898,654.8806122998961,1819.112811944156
54,55,209,29,1.7728422222222222,AKM,208,-106,1.7316133333333334,-13.0,22.0,0.04122888888888876,533.6064248369553,-315.3128874036554
71,72,234,80,1.896528888888889,AKM,233,-55,1.8553000000000002,13.0,78.0,0.04122888888888898,1891.8773244219221,315.3128874036537
79,80,6,137,2.020215555555556,AKM,5,2,1.9789866666666673,3.0,86.0,0.041228888888889204,2085.9160243626206,72.76451247776585
85,86,9,160,2.0614444444444446,AKM,8,25,2.0202155555555557,-6.0,128.0,0.041228888888888315,3104.6191990514094,-145.52902495553482
89,90,2,299,2.1026733333333336,AKM,1,164,2.0614444444444446,-27.0,286.0,0.04122888888888898,6936.883522880381,-654.8806122998961
103,104,13,41,2.267588888888889,AKM,12,-94,2.22636,2.0,18.0,0.04122888888888898,436.5870748665974,48.50967498517749
104,105,15,16,2.308817777777778,AKM,14,-119,2.267588888888889,2.0,-25.0,0.04122888888888898,-606.3709373147186,48.50967498517749
109,110,16,125,2.4325044444444446,AKM,15,-10,2.3912755555555556,14.0,102.0,0.04122888888888854,2473.9934242440786,339.5677248962461
119,120,13,149,2.5149622222222225,AKM,12,14,2.4737333333333336,10.0,111.0,0.04122888888888898,2692.2869616773505,242.54837492588746
125,126,15,141,2.556191111111111,AKM,14,6,2.514962222222222,-7.0,98.0,0.04122888888888854,2376.9740742737226,-169.78386244812305
130,131,8,53,2.59742,AKM,7,-82,2.556191111111111,-20.0,-19.0,0.04122888888888898,-460.84191235918615,-485.0967498517749
136,137,24,118,2.638648888888889,AKM,23,-17,2.59742,-3.0,-27.0,0.04122888888888898,-654.8806122998961,-72.76451247776623
148,149,1,250,2.721106666666667,AKM,0,115,2.679877777777778,-33.0,186.0,0.04122888888888898,4511.399773621507,-800.4096372554286
155,156,10,211,2.7623355555555555,AKM,9,76,2.7211066666666666,1.0,82.0,0.04122888888888854,1988.8966743922986,24.254837492589008
160,161,11,235,2.8035644444444445,AKM,10,100,2.7623355555555555,-6.0,99.0,0.04122888888888898,2401.228911766286,-145.52902495553246
165,166,15,220,2.844793333333333,AKM,14,85,2.803564444444444,-25.0,126.0,0.04122888888888854,3056.109524066215,-606.3709373147252
173,174,9,230,2.8860222222222225,AKM,8,95,2.8447933333333335,1.0,169.0,0.041228888888889426,4099.067536247454,24.254837492588482
179,180,7,225,2.9272511111111115,AKM,6,90,2.8860222222222225,0.0,134.0,0.04122888888888898,3250.1482240068917,0.0
197,198,36,208,3.050937777777778,AKM,35,73,3.009708888888889,27.0,-56.0,0.04122888888888898,-1358.2708995849698,654.8806122998961
206,207,24,203,3.092166666666667,AKM,23,68,3.050937777777778,-12.0,44.0,0.04122888888888898,1067.2128496739049,-291.0580499110649
207,208,22,247,3.133395555555556,AKM,21,112,3.092166666666667,-2.0,44.0,0.04122888888888898,1067.2128496739049,-48.50967498517749
210,211,9,276,3.1746244444444445,AKM,8,141,3.1333955555555555,6.0,119.0,0.04122888888888854,2886.3256616180915,145.52902495553403
