shot_number,x_coord,y_coord,time,weapon
1,797,567,0.0,M416
2,5,75,0.0,M416
3,4,92,0.20582788671023966,M416
4,5,83,0.20582788671023966,M416
5,1039,9,0.4528213507625272,M416
6,810,557,1.0291394335511983,M416
7,804,561,1.0703050108932461,M416
8,798,572,1.1114705882352942,M416
9,3,107,1.1114705882352942,M416
10,799,561,1.19380174291939,M416
11,4,100,1.19380174291939,M416
12,1268,276,1.2761328976034858,M416
13,1,116,1.2761328976034858,M416
14,5,4,1.3172984749455336,M416
15,1,141,1.3584640522875817,M416
16,1025,4,1.4819607843137255,M416
17,1014,1,1.5642919389978214,M416
18,2,150,1.770119825708061,M416
19,1067,1,1.770119825708061,M416
20,1110,15,1.8112854030501089,M416
21,1082,9,1.8112854030501089,M416
22,2,179,1.852450980392157,M416
23,5,158,1.852450980392157,M416
24,1077,12,1.852450980392157,M416
25,1111,9,1.852450980392157,M416
26,237,5,1.852450980392157,M416
27,1191,1,1.852450980392157,M416
28,807,543,1.8936165577342048,M416
29,1100,1,1.8936165577342048,M416
30,1037,4,1.8936165577342048,M416
31,4,167,1.9347821350762526,M416
32,1066,19,1.9347821350762526,M416
33,206,2,1.9347821350762526,M416
34,1270,2,1.9759477124183007,M416
35,802,566,2.0171132897603488,M416
36,223,49,2.0171132897603488,M416
37,218,18,2.0171132897603488,M416
38,2,185,2.0582788671023966,M416
39,226,34,2.0582788671023966,M416
40,1047,18,2.0582788671023966,M416
41,231,4,2.0582788671023966,M416
42,2,196,2.0994444444444444,M416
43,225,43,2.0994444444444444,M416
44,202,13,2.0994444444444444,M416
45,191,16,2.0994444444444444,M416
46,230,12,2.0994444444444444,M416
47,1276,5,2.0994444444444444,M416
48,184,2,2.0994444444444444,M416
49,167,2,2.0994444444444444,M416
50,196,18,2.1406100217864923,M416
51,212,4,2.1406100217864923,M416
52,1276,17,2.18177559912854,M416
53,200,7,2.18177559912854,M416
54,210,13,2.2641067538126363,M416
55,185,10,2.2641067538126363,M416
56,189,2,2.2641067538126363,M416
57,161,7,2.2641067538126363,M416
58,0,3,2.2641067538126363,M416
59,1271,48,2.305272331154684,M416
60,1147,4,2.305272331154684,M416
61,1261,54,2.346437908496732,M416
62,1188,26,2.346437908496732,M416
63,171,12,2.346437908496732,M416
64,1137,4,2.346437908496732,M416
65,793,559,2.38760348583878,M416
66,1179,24,2.38760348583878,M416
67,216,25,2.38760348583878,M416
68,189,22,2.38760348583878,M416
69,1174,10,2.38760348583878,M416
70,1129,3,2.38760348583878,M416
71,197,2,2.38760348583878,M416
72,152,1,2.38760348583878,M416
73,211,34,2.4287690631808276,M416
74,196,29,2.4287690631808276,M416
75,179,20,2.4287690631808276,M416
76,961,1,2.4287690631808276,M416
77,217,54,2.469934640522876,M416
78,174,20,2.469934640522876,M416
79,224,24,2.469934640522876,M416
80,217,8,2.469934640522876,M416
81,215,40,2.5111002178649238,M416
82,202,33,2.5111002178649238,M416
83,193,7,2.5111002178649238,M416
84,1191,34,2.5934313725490195,M416
85,1173,32,2.5934313725490195,M416
86,203,27,2.5934313725490195,M416
87,1168,21,2.5934313725490195,M416
88,174,4,2.5934313725490195,M416
89,135,4,2.6757625272331156,M416
90,1260,2,2.6757625272331156,M416
91,218,3,2.6757625272331156,M416
92,239,20,2.7169281045751634,M416
93,7,17,2.7169281045751634,M416
94,1255,2,2.7169281045751634,M416
95,1241,1,2.7169281045751634,M416
96,228,54,2.7580936819172113,M416
97,239,30,2.799259259259259,M416
98,190,29,2.799259259259259,M416
99,1277,121,2.840424836601307,M416
100,207,43,2.840424836601307,M416
101,3,24,2.840424836601307,M416
102,230,44,2.8815904139433552,M416
103,237,39,2.8815904139433552,M416
104,233,28,2.922755991285403,M416
105,1,19,2.963921568627451,M416
106,6,36,3.087418300653595,M416
107,162,2,3.087418300653595,M416
108,1276,65,3.1285838779956427,M416
109,7,41,3.1285838779956427,M416
110,1277,81,3.1697494553376906,M416
111,6,64,3.1697494553376906,M416
112,204,18,3.1697494553376906,M416
113,1277,92,3.2109150326797384,M416
114,1277,171,3.2520806100217863,M416
115,1276,71,3.2520806100217863,M416
116,1,51,3.2520806100217863,M416
117,210,26,3.2520806100217863,M416
118,16,53,3.2932461873638346,M416
119,195,34,3.2932461873638346,M416
120,183,15,3.2932461873638346,M416
121,17,72,3.3344117647058824,M416
122,144,6,3.3755773420479303,M416
123,156,15,3.416742919389978,M416
124,2,129,3.457908496732026,M416
125,20,101,3.4990740740740742,M416
126,10,104,3.58140522875817,M416
127,20,114,3.6637363834422656,M416
128,16,109,3.704901960784314,M416
129,11,130,3.7872331154684096,M416
130,1276,145,3.8283986928104574,M416
131,2,135,3.8695642701525053,M416
132,806,548,4.0342265795206975,M416
133,1266,166,4.0342265795206975,M416
134,133,12,4.198888888888889,M416
135,824,574,4.445882352941177,M416
136,903,567,4.487047930283224,M416
137,912,567,4.5282135076252725,M416
138,889,555,4.56937908496732,M416
139,877,543,4.56937908496732,M416
140,888,541,4.610544662309368,M416
141,873,530,4.610544662309368,M416
142,899,553,4.6517102396514165,M416
143,876,525,4.6517102396514165,M416
144,944,572,4.734041394335512,M416
145,955,522,4.734041394335512,M416
146,878,553,4.77520697167756,M416
147,923,573,4.939869281045752,M416
148,1007,573,5.269193899782135,M416
149,1125,546,5.7631808278867105,M416
