,shot_number,x_coord,y_coord,time,weapon,x_normalized,y_normalized,time_normalized,delta_x,delta_y,delta_time,V,H
0,1,3,66,0.247089552238806,SCAR-L,0,0,0.0,0.0,0.0,0.001,0.0,0.0
1,2,719,3,0.7824502487562189,SCAR-L,716,-63,0.5353606965174129,716.0,-63.0,0.5353606965174129,-117.67767116604327,1337.4160722997933
8,9,145,20,1.153084577114428,SCAR-L,142,-46,0.905995024875622,13.0,12.0,0.041181592039801096,291.3923286016302,315.6750226517661
14,15,146,25,1.2766293532338309,SCAR-L,143,-41,1.029539800995025,19.0,22.0,0.041181592039800985,534.2192691029902,461.37118695258243
16,17,136,3,1.317810945273632,SCAR-L,133,-63,1.070721393034826,-17.0,-10.0,0.041181592039801096,-242.8269405013585,-412.80579885230947
17,18,128,17,1.400174129353234,SCAR-L,125,-49,1.153084577114428,-8.0,14.0,0.08236318407960197,169.9788583509514,-97.13077620054366
20,21,110,3,1.523718905472637,SCAR-L,107,-63,1.276629353233831,9.0,1.0,0.12354477611940307,8.094231350045298,72.84808215040768
23,24,153,8,1.9355348258706468,SCAR-L,150,-58,1.688445273631841,-690.0,6.0,0.20590796019900504,29.139232860163084,-3351.0117789187548
25,26,1,19,2.1826243781094528,SCAR-L,-2,-47,1.9355348258706468,-146.0,16.0,0.2470895522388059,64.75385080036244,-590.8788885533073
26,27,11,34,2.223805970149254,SCAR-L,8,-32,1.976716417910448,10.0,15.0,0.041181592039801096,364.24041075203775,242.8269405013585
27,28,10,42,2.264987562189055,SCAR-L,7,-24,2.017898009950249,-1.0,8.0,0.041181592039800874,194.26155240108787,-24.282694050135984
28,29,137,24,2.306169154228856,SCAR-L,134,-42,2.05907960199005,127.0,-18.0,0.041181592039801096,-437.0884929024453,3083.902144367253
29,30,2,58,2.512077114427861,SCAR-L,-1,-8,2.264987562189055,-135.0,34.0,0.20590796019900504,165.12231954092414,-655.6327393536694
32,33,838,102,2.965074626865672,SCAR-L,835,36,2.7179850746268657,811.0,96.0,0.3294527363184079,291.392328601631,2461.6581093325285
35,36,647,373,3.335708955223881,SCAR-L,644,307,3.0886194029850746,75.0,14.0,0.24708955223880658,56.65961945031699,303.53367562669814
37,38,616,371,3.582798507462687,SCAR-L,613,305,3.335708955223881,37.0,35.0,0.20590796019900504,169.97885835095133,179.69193597100568
38,39,663,378,3.788706467661692,SCAR-L,660,312,3.541616915422886,47.0,7.0,0.20590796019900504,33.995771670190265,228.25732407127748
40,41,703,379,3.8298880597014926,SCAR-L,700,313,3.5827985074626865,41.0,11.0,0.04118159203980065,267.10963455149727,995.5904560555806
43,44,710,371,3.8710696517412937,SCAR-L,707,305,3.6239800995024876,58.0,5.0,0.041181592039801096,121.41347025067925,1408.3962549078794
45,46,710,364,3.912251243781095,SCAR-L,707,298,3.6651616915422887,44.0,1.0,0.041181592039801096,24.282694050135852,1068.4385382059775
46,47,715,351,3.953432835820896,SCAR-L,712,285,3.7063432835820898,5.0,-13.0,0.041181592039801096,-315.6750226517661,121.41347025067925
47,48,684,380,3.994614427860697,SCAR-L,681,314,3.747524875621891,-31.0,29.0,0.041181592039801096,704.1981274539397,-752.7635155542114
50,51,791,371,4.612338308457712,SCAR-L,788,305,4.365248756218906,172.0,48.0,0.6177238805970156,77.70462096043484,278.4415584415582
51,52,794,329,4.7358830845771145,SCAR-L,791,263,4.488793532338309,3.0,-42.0,0.1235447761194024,-339.95771670190436,24.282694050136026
54,55,801,329,4.859427860696518,SCAR-L,798,263,4.612338308457712,3.0,7.0,0.08236318407960219,84.98942917547548,36.424041075203775
55,56,730,341,4.900609452736319,SCAR-L,727,275,4.653519900497513,-71.0,12.0,0.041181592039801096,291.3923286016302,-1724.0712775596455
57,58,620,379,5.065335820895522,SCAR-L,617,313,4.818246268656717,-45.0,87.0,0.1235447761194024,704.1981274539447,-364.24041075204036
58,59,645,364,5.106517412935324,SCAR-L,642,298,4.859427860696519,25.0,-15.0,0.041181592039801984,-364.2404107520299,607.0673512533832
60,61,677,359,5.147699004975125,SCAR-L,674,293,4.900609452736319,-13.0,-1.0,0.04118159203980021,-24.282694050136374,-315.67502265177285
62,63,663,356,5.188880597014926,SCAR-L,660,290,4.94179104477612,27.0,-4.0,0.041181592039801096,-97.13077620054341,655.632739353668
63,64,578,380,5.230062189054727,SCAR-L,575,314,4.982972636815921,-85.0,24.0,0.041181592039801096,582.7846572032604,-2064.0289942615473
65,66,573,379,5.271243781094528,SCAR-L,570,313,5.024154228855722,-65.0,30.0,0.041181592039801096,728.4808215040755,-1578.3751132588304
68,69,633,372,5.35360696517413,SCAR-L,630,306,5.106517412935324,56.0,31.0,0.08236318407960219,376.3817577771057,679.9154334038038
69,70,630,329,5.477151741293532,SCAR-L,627,263,5.230062189054727,-3.0,-43.0,0.1235447761194024,-348.0519480519497,-24.282694050136026
